skill_path,grade,score
plugins/ai-agency/tonone/skills/ink-post,D,67
plugins/ai-agency/tonone/skills/ink-recon,D,69
plugins/ai-agency/tonone/skills/ink-seo,C,75
plugins/ai-agency/tonone/skills/keep,D,63
plugins/ai-agency/tonone/skills/keep-expand,D,68
plugins/ai-agency/tonone/skills/keep-health,D,69
plugins/ai-agency/tonone/skills/keep-onboard,D,69
plugins/ai-agency/tonone/skills/keep-playbook,C,74
plugins/ai-agency/tonone/skills/keep-recon,C,72
plugins/ai-agency/tonone/skills/lens,D,64
plugins/ai-agency/tonone/skills/lens-audit,C,74
plugins/ai-agency/tonone/skills/lens-chart,C,76
plugins/ai-agency/tonone/skills/lens-dashboard,D,61
plugins/ai-agency/tonone/skills/lens-metrics,D,60
plugins/ai-agency/tonone/skills/lens-recon,C,75
plugins/ai-agency/tonone/skills/lens-report,D,67
plugins/ai-agency/tonone/skills/lumen,D,65
plugins/ai-agency/tonone/skills/lumen-abtest,D,63
plugins/ai-agency/tonone/skills/lumen-funnel,C,72
plugins/ai-agency/tonone/skills/lumen-instrument,D,64
plugins/ai-agency/tonone/skills/lumen-metrics,C,73
plugins/ai-agency/tonone/skills/lumen-recon,C,72
plugins/ai-agency/tonone/skills/pave,D,63
plugins/ai-agency/tonone/skills/pave-audit,C,73
plugins/ai-agency/tonone/skills/pave-catalog,C,76
plugins/ai-agency/tonone/skills/pave-contribute,C,73
plugins/ai-agency/tonone/skills/pave-env,C,70
plugins/ai-agency/tonone/skills/pave-golden,C,76
plugins/ai-agency/tonone/skills/pave-recon,D,68
plugins/ai-agency/tonone/skills/pitch,D,64
plugins/ai-agency/tonone/skills/pitch-copy,D,68
plugins/ai-agency/tonone/skills/pitch-landing,C,76
plugins/ai-agency/tonone/skills/pitch-launch,D,68
plugins/ai-agency/tonone/skills/pitch-message,C,71
plugins/ai-agency/tonone/skills/pitch-position,D,69
plugins/ai-agency/tonone/skills/pitch-recon,C,74
plugins/ai-agency/tonone/skills/prism,D,65
plugins/ai-agency/tonone/skills/prism-audit,C,70
plugins/ai-agency/tonone/skills/prism-chart,C,77
plugins/ai-agency/tonone/skills/prism-component,D,65
plugins/ai-agency/tonone/skills/prism-dashboard,C,70
plugins/ai-agency/tonone/skills/prism-recon,C,77
plugins/ai-agency/tonone/skills/prism-stack,C,77
plugins/ai-agency/tonone/skills/prism-ui,D,64
plugins/ai-agency/tonone/skills/proof,D,65
plugins/ai-agency/tonone/skills/proof-api,C,73
plugins/ai-agency/tonone/skills/proof-audit,C,76
plugins/ai-agency/tonone/skills/proof-design,D,69
plugins/ai-agency/tonone/skills/proof-e2e,D,64
plugins/ai-agency/tonone/skills/proof-recon,C,73
plugins/ai-agency/tonone/skills/proof-strategy,C,72
plugins/ai-agency/tonone/skills/relay,D,64
plugins/ai-agency/tonone/skills/relay-audit,C,73
plugins/ai-agency/tonone/skills/relay-deploy,D,62
plugins/ai-agency/tonone/skills/relay-docker,C,73
plugins/ai-agency/tonone/skills/relay-pipeline,D,64
plugins/ai-agency/tonone/skills/relay-recon,C,75
plugins/ai-agency/tonone/skills/relay-ship,D,68
plugins/ai-agency/tonone/skills/spine,D,65
plugins/ai-agency/tonone/skills/spine-api,D,62
plugins/ai-agency/tonone/skills/spine-design,D,67
plugins/ai-agency/tonone/skills/spine-perf,D,66
plugins/ai-agency/tonone/skills/spine-recon,D,69
plugins/ai-agency/tonone/skills/spine-review,D,67
plugins/ai-agency/tonone/skills/spine-service,C,71
plugins/ai-agency/tonone/skills/surge,D,63
plugins/ai-agency/tonone/skills/surge-activation,D,64
plugins/ai-agency/tonone/skills/surge-experiment,D,65
plugins/ai-agency/tonone/skills/surge-landing,C,77
plugins/ai-agency/tonone/skills/surge-plg,D,65
plugins/ai-agency/tonone/skills/surge-recon,C,73
plugins/ai-agency/tonone/skills/surge-retention,D,65
plugins/ai-agency/tonone/skills/tonone-onboard,D,67
plugins/ai-agency/tonone/skills/touch,D,64
plugins/ai-agency/tonone/skills/touch-app,D,60
plugins/ai-agency/tonone/skills/touch-audit,D,68
plugins/ai-agency/tonone/skills/touch-feature,D,62
plugins/ai-agency/tonone/skills/touch-recon,D,67
plugins/ai-agency/tonone/skills/touch-release,D,60
plugins/ai-agency/tonone/skills/touch-ui,C,76
plugins/ai-agency/tonone/skills/vigil,D,65
plugins/ai-agency/tonone/skills/vigil-alert,D,69
plugins/ai-agency/tonone/skills/vigil-check,C,77
plugins/ai-agency/tonone/skills/vigil-incident,C,73
plugins/ai-agency/tonone/skills/vigil-instrument,D,66
plugins/ai-agency/tonone/skills/vigil-recon,D,69
plugins/ai-agency/tonone/skills/volt,D,63
plugins/ai-agency/tonone/skills/volt-driver,D,64
plugins/ai-agency/tonone/skills/volt-firmware,D,64
plugins/ai-agency/tonone/skills/volt-ota,D,65
plugins/ai-agency/tonone/skills/volt-power,C,71
plugins/ai-agency/tonone/skills/volt-recon,C,74
plugins/ai-agency/tonone/skills/warden,D,63
plugins/ai-agency/tonone/skills/warden-audit,C,72
plugins/ai-agency/tonone/skills/warden-harden,D,64
plugins/ai-agency/tonone/skills/warden-iam,C,71
plugins/ai-agency/tonone/skills/warden-recon,C,73
plugins/ai-agency/tonone/skills/warden-scan,C,72
plugins/ai-agency/tonone/skills/warden-threat,C,70
plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness,A,96
plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems,A,99
plugins/ai-ml/anomaly-detection-system/skills/detecting-data-anomalies,A,99
plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines,A,96
plugins/ai-ml/cad-dxf-agent/skills/cad-dxf-agent,A,97
plugins/ai-ml/classification-model-builder/skills/building-classification-models,A,95
plugins/ai-ml/clustering-algorithm-runner/skills/running-clustering-algorithms,A,94
plugins/ai-ml/computer-vision-processor/skills/processing-computer-vision-tasks,A,96
plugins/ai-ml/data-preprocessing-pipeline/skills/preprocessing-data-with-automated-pipelines,A,97
plugins/ai-ml/data-visualization-creator/skills/creating-data-visualizations,A,95
plugins/ai-ml/dataset-splitter/skills/splitting-datasets,A,97
plugins/ai-ml/deep-learning-optimizer/skills/optimizing-deep-learning-models,A,94
plugins/ai-ml/experiment-tracking-setup/skills/setting-up-experiment-tracking,A,96
plugins/ai-ml/feature-engineering-toolkit/skills/engineering-features-for-machine-learning,A,99
plugins/ai-ml/hyperparameter-tuner/skills/tuning-hyperparameters,A,97
plugins/ai-ml/jeremy-adk-orchestrator/skills/adk-deployment-specialist,A,96
plugins/ai-ml/jeremy-adk-software-engineer/skills/adk-engineer,A,99
plugins/ai-ml/jeremy-gcp-starter-examples/skills/gcp-examples-expert,A,100
plugins/ai-ml/jeremy-genkit-pro/skills/genkit-production-expert,A,99
plugins/ai-ml/jeremy-google-adk/skills/adk-agent-builder,A,96
plugins/ai-ml/jeremy-vertex-ai/skills/vertex-agent-builder,A,97
plugins/ai-ml/jeremy-vertex-engine/skills/vertex-engine-inspector,A,100
plugins/ai-ml/jeremy-vertex-validator/skills/validator-expert,A,100
plugins/ai-ml/ml-model-trainer/skills/training-machine-learning-models,A,94
plugins/ai-ml/model-deployment-helper/skills/deploying-machine-learning-models,A,94
plugins/ai-ml/model-evaluation-suite/skills/evaluating-machine-learning-models,A,95
plugins/ai-ml/model-explainability-tool/skills/explaining-machine-learning-models,A,98
plugins/ai-ml/model-versioning-tracker/skills/tracking-model-versions,A,96
plugins/ai-ml/neural-network-builder/skills/building-neural-networks,A,95
plugins/ai-ml/nlp-text-analyzer/skills/analyzing-text-with-nlp,A,95
plugins/ai-ml/ollama-local-ai/skills/ollama-setup,A,98
plugins/ai-ml/recommendation-engine/skills/building-recommendation-systems,A,94
plugins/ai-ml/regression-analysis-tool/skills/performing-regression-analysis,A,95
plugins/ai-ml/sentiment-analysis-tool/skills/analyzing-text-sentiment,A,94
plugins/ai-ml/time-series-forecaster/skills/forecasting-time-series-data,A,94
plugins/ai-ml/transfer-learning-adapter/skills/adapting-transfer-learning-models,A,97
plugins/analytics/web-analytics/skills/web-analytics,A,99
plugins/api-development/api-authentication-builder/skills/building-api-authentication,A,98
plugins/api-development/api-batch-processor/skills/processing-api-batches,A,98
plugins/api-development/api-cache-manager/skills/managing-api-cache,A,100
plugins/api-development/api-contract-generator/skills/generating-api-contracts,A,99
plugins/api-development/api-documentation-generator/skills/generating-api-docs,A,99
plugins/api-development/api-error-handler/skills/handling-api-errors,A,98
plugins/api-development/api-event-emitter/skills/emitting-api-events,A,98
plugins/api-development/api-gateway-builder/skills/building-api-gateway,A,99
plugins/api-development/api-load-tester/skills/load-testing-apis,A,99
plugins/api-development/api-migration-tool/skills/migrating-apis,A,99
plugins/api-development/api-mock-server/skills/mocking-apis,A,99
plugins/api-development/api-monitoring-dashboard/skills/monitoring-apis,A,98
plugins/api-development/api-rate-limiter/skills/rate-limiting-apis,A,100
plugins/api-development/api-request-logger/skills/logging-api-requests,A,100
plugins/api-development/api-response-validator/skills/validating-api-responses,A,100
plugins/api-development/api-schema-validator/skills/validating-api-schemas,A,100
plugins/api-development/api-sdk-generator/skills/generating-api-sdks,A,98
plugins/api-development/api-security-scanner/skills/scanning-api-security,A,100
plugins/api-development/api-throttling-manager/skills/throttling-apis,A,98
plugins/api-development/api-versioning-manager/skills/versioning-apis,A,97
plugins/api-development/graphql-server-builder/skills/building-graphql-server,A,98
plugins/api-development/grpc-service-generator/skills/generating-grpc-services,A,99
plugins/api-development/rest-api-generator/skills/generating-rest-apis,A,99
plugins/api-development/webhook-handler-creator/skills/creating-webhook-handlers,A,99
plugins/api-development/websocket-server-builder/skills/building-websocket-server,A,99
plugins/api-development/x-twitter-scraper,C,77
plugins/business-tools/brand-strategy-framework/skills/brand-strategy,B,83
plugins/business-tools/excel-analyst-pro/skills/excel-dcf-modeler,A,94
plugins/business-tools/excel-analyst-pro/skills/excel-lbo-modeler,A,96
plugins/business-tools/excel-analyst-pro/skills/excel-pivot-wizard,A,97
plugins/business-tools/excel-analyst-pro/skills/excel-variance-analyzer,A,95
plugins/business-tools/general-legal-assistant/skills/agreement-generator,B,85
plugins/business-tools/general-legal-assistant/skills/compliance-audit,B,82
plugins/business-tools/general-legal-assistant/skills/contract-compare,B,87
plugins/business-tools/general-legal-assistant/skills/contract-review,B,87
plugins/business-tools/general-legal-assistant/skills/freelancer-review,B,82
plugins/business-tools/general-legal-assistant/skills/missing-protections,B,84
plugins/business-tools/general-legal-assistant/skills/nda-generator,B,87
plugins/business-tools/general-legal-assistant/skills/negotiate,A,90
plugins/business-tools/general-legal-assistant/skills/plain-english,B,86
plugins/business-tools/general-legal-assistant/skills/privacy-generator,B,82
plugins/business-tools/general-legal-assistant/skills/risk-analysis,B,88
plugins/business-tools/general-legal-assistant/skills/terms-generator,B,85
plugins/community/b12-claude-plugin/skills/website-generator,A,92
plugins/community/claude-never-forgets/skills/memory,A,98
plugins/community/contributing-clanker/skills/contribute,A,97
plugins/community/contributing-clanker/skills/contribute-prepare,A,96
plugins/community/contributing-clanker/skills/contribute-publish,A,97
plugins/community/ejentum-anti-deception,D,64
plugins/community/ejentum-code,D,67
plugins/community/ejentum-memory,D,67
plugins/community/ejentum-reasoning,D,68
plugins/community/framecraft/skills/demo-video,A,96
plugins/community/hermes-tweet/hermes_tweet/skills/hermes-tweet,A,100
plugins/community/hermes-tweet/skills/hermes-tweet,A,100
plugins/community/jeremy-firebase/skills/firebase-vertex-ai,A,97
plugins/community/jeremy-firestore/skills/firestore-operations-manager,A,94
plugins/community/llm-box/skills/setup,B,80
plugins/community/mnemos/.claude/skills/mnemos,B,82
plugins/community/portaljs/skills/arcgis-to-portaljs,A,94
plugins/community/portaljs/skills/portaljs-add-chart,A,98
plugins/community/portaljs/skills/portaljs-add-dataset,A,97
plugins/community/portaljs/skills/portaljs-add-dcat,A,98
plugins/community/portaljs/skills/portaljs-add-geo,A,97
plugins/community/portaljs/skills/portaljs-add-map,A,98
plugins/community/portaljs/skills/portaljs-add-resource,A,98
plugins/community/portaljs/skills/portaljs-architect,A,98
plugins/community/portaljs/skills/portaljs-check-data-quality,A,98
plugins/community/portaljs/skills/portaljs-connect-ckan,A,98
plugins/community/portaljs/skills/portaljs-define-schema,A,97
plugins/community/portaljs/skills/portaljs-deploy,A,98
plugins/community/portaljs/skills/portaljs-migrate,A,99
plugins/community/portaljs/skills/portaljs-new-portal,A,100
plugins/community/quit-sponsor,F,53
plugins/community/skillcrossroads/skills/audit-skill,A,100
plugins/community/skills-janitor/skills/janitor-discover,A,93
plugins/community/skills-janitor/skills/janitor-fix,A,93
plugins/community/skills-janitor/skills/janitor-report,A,94
plugins/community/skills-janitor/skills/janitor-swipe,A,93
plugins/community/skills-janitor/skills/janitor-value,A,94
plugins/community/sprint/skills/agent-patterns,A,95
plugins/community/sprint/skills/api-contract,A,97
plugins/community/sprint/skills/spec-writing,A,100
plugins/community/sprint/skills/sprint-workflow,A,96
plugins/crypto/aomi/skills/transact,A,94
plugins/crypto/arbitrage-opportunity-finder/skills/finding-arbitrage-opportunities,A,96
plugins/crypto/blockchain-explorer-cli/skills/exploring-blockchain-data,A,100
plugins/crypto/cross-chain-bridge-monitor/skills/monitoring-cross-chain-bridges,A,92
plugins/crypto/crypto-derivatives-tracker/skills/tracking-crypto-derivatives,A,96
plugins/crypto/crypto-news-aggregator/skills/aggregating-crypto-news,A,96
plugins/crypto/crypto-portfolio-tracker/skills/tracking-crypto-portfolio,A,95
plugins/crypto/crypto-signal-generator/skills/generating-trading-signals,A,96
plugins/crypto/crypto-tax-calculator/skills/calculating-crypto-taxes,A,95
plugins/crypto/defi-yield-optimizer/skills/optimizing-defi-yields,A,93
plugins/crypto/dex-aggregator-router/skills/routing-dex-trades,A,96
plugins/crypto/flash-loan-simulator/skills/simulating-flash-loans,A,98
plugins/crypto/gas-fee-optimizer/skills/optimizing-gas-fees,A,100
plugins/crypto/liquidity-pool-analyzer/skills/analyzing-liquidity-pools,A,95
plugins/crypto/market-movers-scanner/skills/scanning-market-movers,A,97
plugins/crypto/market-price-tracker/skills/tracking-crypto-prices,A,98
plugins/crypto/market-sentiment-analyzer/skills/analyzing-market-sentiment,A,96
plugins/crypto/mempool-analyzer/skills/analyzing-mempool,A,100
plugins/crypto/nft-rarity-analyzer/skills/analyzing-nft-rarity,A,98
plugins/crypto/on-chain-analytics/skills/analyzing-on-chain-data,A,100
plugins/crypto/options-flow-analyzer/skills/analyzing-options-flow,A,100
plugins/crypto/staking-rewards-optimizer/skills/optimizing-staking-rewards,A,93
plugins/crypto/token-launch-tracker/skills/tracking-token-launches,A,94
plugins/crypto/trading-strategy-backtester/skills/backtesting-trading-strategies,A,98
plugins/crypto/wallet-security-auditor/skills/auditing-wallet-security,A,95
plugins/crypto/whale-alert-monitor/skills/monitoring-whale-activity,A,100
plugins/database/data-seeder-generator/skills/generating-database-seed-data,A,99
plugins/database/data-validation-engine/skills/validating-database-integrity,A,99
plugins/database/database-archival-system/skills/archiving-databases,A,95
plugins/database/database-audit-logger/skills/implementing-database-audit-logging,A,98
plugins/database/database-backup-automator/skills/automating-database-backups,A,92
plugins/database/database-cache-layer/skills/implementing-database-caching,A,98
plugins/database/database-connection-pooler/skills/optimizing-database-connection-pooling,A,100
plugins/database/database-deadlock-detector/skills/detecting-database-deadlocks,A,98
plugins/database/database-diff-tool/skills/comparing-database-schemas,A,97
plugins/database/database-documentation-gen/skills/database-documentation-gen,A,98
plugins/database/database-health-monitor/skills/monitoring-database-health,A,98
plugins/database/database-index-advisor/skills/analyzing-database-indexes,A,97
plugins/database/database-migration-manager/skills/managing-database-migrations,A,96
plugins/database/database-partition-manager/skills/managing-database-partitions,A,99
plugins/database/database-recovery-manager/skills/managing-database-recovery,A,100
plugins/database/database-replication-manager/skills/managing-database-replication,A,97
plugins/database/database-schema-designer/skills/designing-database-schemas,A,97
plugins/database/database-security-scanner/skills/scanning-database-security,A,99
plugins/database/database-sharding-manager/skills/managing-database-sharding,A,98
plugins/database/database-transaction-monitor/skills/monitoring-database-transactions,A,98
plugins/database/freshie-inventory-manager/skills/freshie-inventory,A,95
plugins/database/nosql-data-modeler/skills/modeling-nosql-data,A,97
plugins/database/orm-code-generator/skills/generating-orm-code,A,99
plugins/database/query-performance-analyzer/skills/analyzing-query-performance,A,98
plugins/database/sql-query-optimizer/skills/optimizing-sql-queries,A,96
plugins/database/stored-procedure-generator/skills/generating-stored-procedures,A,94
plugins/design/brand-forge/skills/generate-doc-template,A,100
plugins/design/brand-forge/skills/generate-graphic,A,100
plugins/design/brand-forge/skills/generate-logo,A,100
plugins/design/brand-forge/skills/generate-social,A,100
plugins/design/uizze/skills/anti-ui-slop,B,89
plugins/devops/ansible-playbook-creator/skills/creating-ansible-playbooks,A,97
plugins/devops/auto-scaling-configurator/skills/configuring-auto-scaling-policies,A,98
plugins/devops/backup-strategy-implementor/skills/implementing-backup-strategies,A,98
plugins/devops/ci-cd-pipeline-builder/skills/building-cicd-pipelines,A,98
plugins/devops/cloud-cost-optimizer/skills/optimizing-cloud-costs,A,98
plugins/devops/compliance-checker/skills/checking-infrastructure-compliance,A,99
plugins/devops/container-registry-manager/skills/managing-container-registries,A,98
plugins/devops/container-security-scanner/skills/scanning-container-security,A,100
plugins/devops/deployment-pipeline-orchestrator/skills/orchestrating-deployment-pipelines,A,96
plugins/devops/deployment-rollback-manager/skills/managing-deployment-rollbacks,A,97
plugins/devops/disaster-recovery-planner/skills/planning-disaster-recovery,A,99
plugins/devops/docker-compose-generator/skills/generating-docker-compose-files,A,99
plugins/devops/engineer-design-diagram/skills/engineer-design-diagram,A,96
plugins/devops/environment-config-manager/skills/managing-environment-configurations,A,97
plugins/devops/fairdb-operations-kit/skills/fairdb-backup-manager,A,99
plugins/devops/gh-dash/skills/gh-dash,A,92
plugins/devops/git-commit-smart/skills/generating-smart-commits,A,99
plugins/devops/gitops-workflow-builder/skills/building-gitops-workflows,A,98
plugins/devops/helm-chart-generator/skills/generating-helm-charts,A,97
plugins/devops/infrastructure-as-code-generator/skills/generating-infrastructure-as-code,A,97
plugins/devops/infrastructure-drift-detector/skills/detecting-infrastructure-drift,A,100
plugins/devops/jeremy-adk-terraform/skills/adk-infra-expert,A,93
plugins/devops/jeremy-genkit-terraform/skills/genkit-infra-expert,A,93
plugins/devops/jeremy-github-actions-gcp/skills/gh-actions-validator,A,93
plugins/devops/jeremy-vertex-terraform/skills/vertex-infra-expert,A,93
plugins/devops/kubernetes-deployment-creator/skills/creating-kubernetes-deployments,A,90
plugins/devops/load-balancer-configurator/skills/configuring-load-balancers,A,98
plugins/devops/log-aggregation-setup/skills/setting-up-log-aggregation,A,97
plugins/devops/mattyp-changelog/skills/changelog-orchestrator,A,95
plugins/devops/monitoring-stack-deployer/skills/deploying-monitoring-stacks,A,97
plugins/devops/network-policy-manager/skills/managing-network-policies,A,97
plugins/devops/secrets-manager-integrator/skills/integrating-secrets-managers,A,98
plugins/devops/service-mesh-configurator/skills/configuring-service-meshes,A,96
plugins/devops/sugar/skills/managing-autonomous-development,A,97
plugins/devops/terraform-module-builder/skills/building-terraform-modules,A,96
plugins/devops/tweetclaw/skills/tweetclaw,A,90
plugins/examples/formatter/skills/code-formatter,A,99
plugins/examples/jeremy-plugin-tool/skills/plugin-auditor,A,100
